Mes y Año,Estado,Cortas,Largas,Total
,,,,
enero 2013,Baja California,7,40,47
,Chihuahua,,1,1
,Ciudad de México,"1,637",561,"2,198"
,Querétaro,15,10,25
,Tamaulipas,16,9,25
,Veracruz,1,,1
febrero 2013,Baja California,58,40,98
,Campeche,42,12,54
,Coahuila,62,20,82
,Chiapas,14,18,32
,Chihuahua,100,39,139
,Ciudad de México,457,124,581
,Durango,48,14,62
,Guerrero,25,25,50
,Hidalgo,79,18,97
,Jalisco,34,6,40
,Estado de México,"2,531",576,"3,107"
,Tamaulipas,200,123,323
,Veracruz,15,2,17
marzo 2013,Aguascalientes,113,25,138
,Baja California,1,12,13
,Campeche,10,2,12
,Coahuila,381,181,562
,Chiapas,8,4,12
,Chihuahua,67,39,106
,Ciudad de México,487,135,622
,Durango,668,288,956
,Guerrero,32,24,56
,Hidalgo,192,71,263
,Jalisco,5,1,6
,Estado de México,"1,463",368,"1,831"
,Michoacán,18,3,21
,Nuevo León,419,317,736
,Quintana Roo,8,3,11
,San Luis Potosí,54,17,71
,Sonora,1,,1
,Tamaulipas,87,27,114
,Veracruz,66,25,91
,Yucatán,6,2,8
abril 2013,Aguascalientes,18,4,22
,Baja California,54,48,102
,Campeche,1,3,4
,Coahuila,7,19,26
,Colima,17,1,18
,Chiapas,17,7,24
,Chihuahua,10,5,15
,Ciudad de México,577,194,771
,Guerrero,7,,7
,Hidalgo,31,6,37
,Jalisco,3,10,13
,Estado de México,758,249,"1,007"
,Michoacán,569,287,856
,Nayarit,38,27,65
,Nuevo León,106,126,232
,Oaxaca,143,87,230
,Querétaro,425,245,670
,Quintana Roo,10,8,18
,San Luis Potosí,26,9,35
,Sinaloa,183,90,273
,Tamaulipas,51,31,82
,Veracruz,21,8,29
,Yucatán,1,4,5
mayo 2013,Aguascalientes,29,17,46
,Baja California,64,115,179
,Baja California Sur,12,14,26
,Campeche,16,12,28
,Coahuila,11,1,12
,Colima,1,2,3
,Chiapas,31,17,48
,Chihuahua,29,42,71
,Ciudad de México,366,153,519
,Durango,,,0
,Guerrero,92,62,154
,Hidalgo,48,40,88
,Jalisco,8,14,22
,Estado de México,130,31,161
,Michoacán,342,167,509
,Nayarit,13,12,25
,Nuevo León,60,101,161
,Oaxaca,14,6,20
,Querétaro,,,0
,Quintana Roo,10,1,11
,San Luis Potosí,19,16,35
,Sinaloa,88,41,129
,Tabasco,52,16,68
,Tamaulipas,40,30,70
,Veracruz,18,11,29
,Yucatán,13,9,22
junio 2013,Aguascalientes,1,,1
,Baja California,84,93,177
,Baja California Sur,38,34,72
,Campeche,8,3,11
,Coahuila,90,40,130
,Colima,2,,2
,Chiapas,10,15,25
,Chihuahua,8,3,11
,Ciudad de México,456,107,563
,Guanajuato,118,58,176
,Guerrero,2,4,6
,Jalisco,27,9,36
,Estado de México,192,80,272
,Michoacán,74,89,163
,Nayarit,44,9,53
,Nuevo León,9,28,37
,Oaxaca,5,5,10
,Puebla,124,36,160
,San Luis Potosí,23,8,31
,Sinaloa,23,16,39
,Tabasco,18,7,25
,Tamaulipas,41,25,66
,Veracruz,2,1,3
julio 2013,Aguascalientes,4,1,5
,Baja California,56,101,157
,Baja California Sur,2,9,11
,Coahuila,37,10,47
,Chiapas,117,80,197
,Chihuahua,3,7,10
,Ciudad de México,392,114,506
,Durango,1,,1
,Guanajuato,47,45,92
,Guerrero,25,20,45
,Jalisco,27,42,69
,Estado de México,45,71,116
,Morelos,111,56,167
,Nayarit,23,15,38
,Nuevo León,336,196,532
,Oaxaca,1,1,2
,Puebla,108,69,177
,Querétaro,73,36,109
,San Luis Potosí,3,,3
,Sinaloa,26,14,40
,Tabasco,17,5,22
,Tamaulipas,6,14,20
,Tlaxcala,2,,2
,Veracruz,9,,9
agosto 2013,Aguascalientes,22,3,25
,Baja California,104,67,171
,Baja California Sur,2,,2
,Campeche,1,,1
,Coahuila,71,32,103
,Colima,,1,1
,Chiapas,6,3,9
,Chihuahua,9,11,20
,Ciudad de México,312,126,438
,Guanajuato,44,41,85
,Guerrero,2,6,8
,Hidalgo,85,30,115
,Jalisco,80,90,170
,Morelos,46,36,82
,Nayarit,1,2,3
,Nuevo León,138,112,250
,Oaxaca,,,0
,Puebla,37,28,65
,Querétaro,18,23,41
,Quintana Roo,,2,2
,Sinaloa,44,21,65
,Sonora,148,79,227
,Tabasco,3,1,4
,Tamaulipas,22,10,32
,Tlaxcala,60,47,107
,Veracruz,4,1,5
,Yucatán,5,9,14
septiembre 2013,Baja California,79,50,129
,Coahuila,4,2,6
,Chihuahua,6,4,10
,Ciudad de México,334,125,459
,Guanajuato,11,1,12
,Jalisco,1,1,2
,Morelos,42,17,59
,Nayarit,4,,4
,Nuevo León,8,42,50
,Oaxaca,,1,1
,Puebla,30,13,43
,Quintana Roo,3,,3
,Sinaloa,40,12,52
,Sonora,82,115,197
,Tamaulipas,8,6,14
,Yucatán,6,2,8
,Zacatecas,42,9,51
octubre 2013,Aguascalientes,36,5,41
,Baja California,39,35,74
,Campeche,1,,1
,Coahuila,158,112,270
,Chiapas,45,14,59
,Chihuahua,,3,3
,Ciudad de México,408,139,547
,Hidalgo,25,7,32
,Jalisco,3,8,11
,Nayarit,12,7,19
,Nuevo León,41,45,86
,Oaxaca,7,13,20
,Sinaloa,28,39,67
,Sonora,18,16,34
,Tamaulipas,5,1,6
,Veracruz,15,,15
,Yucatán,10,3,13
,Zacatecas,165,38,203
noviembre 2013,Baja California,17,17,34
,Coahuila,27,32,59
,Colima,4,1,5
,Chiapas,1,1,2
,Chihuahua,3,3,6
,Ciudad de México,292,110,402
,Guanajuato,514,304,818
,Hidalgo,33,8,41
,Jalisco,6,1,7
,Nayarit,7,4,11
,Nuevo León,148,81,229
,Oaxaca,2,,2
,Puebla,26,5,31
,San Luis Potosí,,1,1
,Sonora,94,46,140
,Tabasco,4,,4
,Tamaulipas,25,10,35
,Yucatán,3,2,5
,Zacatecas,,,0
diciembre 2013,Baja California,4,2,6
,Baja California Sur,,1,1
,Campeche,3,3,6
,Coahuila,30,25,55
,Colima,3,,3
,Chiapas,7,2,9
,Chihuahua,7,10,17
,Ciudad de México,388,46,434
,Guerrero,1,,1
,Nayarit,14,9,23
,Nuevo León,81,46,127
,Oaxaca,1,,1
,Puebla,12,4,16
,Sonora,96,48,144
,Tabasco,2,,2
,Tamaulipas,106,42,148
,Yucatán,1,2,3
enero 2014,Campeche,,5,5
,Coahuila,23,11,34
,Chihuahua,6,3,9
,Nayarit,2,,2
,Puebla,97,7,104
,Quintana Roo,22,2,24
,San Luis Potosí,24,3,27
,Tabasco,5,1,6
,Tamaulipas,33,26,59
,Veracruz,2,1,3
,Yucatán,2,,2
febrero 2014,Baja California Sur,1,1,2
,Campeche,9,3,12
,Coahuila,110,67,177
,Chihuahua,58,49,107
,Ciudad de México,208,44,252
,Hidalgo,6,2,8
,Jalisco,1,1,2
,Estado de México,3,1,4
,Michoacán,19,11,30
,Nayarit,7,,7
,Nuevo León,3,11,14
,Puebla,13,5,18
,Quintana Roo,,3,3
,San Luis Potosí,16,2,18
,Tabasco,2,3,5
,Tamaulipas,9,8,17
,Veracruz,44,22,66
,Yucatán,1,1,2
,Zacatecas,8,2,10
marzo 2014,Aguascalientes,48,4,52
,Baja California,62,41,103
,Baja California Sur,1,,1
,Campeche,,2,2
,Coahuila,2,11,13
,Chiapas,8,11,19
,Chihuahua,12,7,19
,Ciudad de México,322,70,392
,Hidalgo,7,,7
,Jalisco,5,6,11
,Estado de México,241,72,313
,Michoacán,15,2,17
,Nayarit,2,1,3
,Nuevo León,112,51,163
