FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
11-sep-15,D.F.,"MILPA ALTA, D.F.",779,204,983,0,45,3,
07-may-19,CD. MÉX.,"AZCAPOTZALCO, CD. MÉX.",705,3,708,0,0,16,
29-mar-19,CD. MÉX.,"COYOACAN, CD. MÉX.",538,5,543,0,0,1154,
08-mar-13,COAH.,"SALTILLO, COAH.",230,125,355,21,12,25316,
15-abr-13,QRO.,"QUERETARO, QRO.",186,130,316,0,0,0,
12-nov-22,MÉX.,"COACALCO DE BERRIOZABAL, MEX.",255,0,255,0,0,0,
09-nov-22,MÉX.,"COACALCO DE BERRIOZABAL, MEX.",231,0,231,0,0,0,
11-nov-22,MÉX.,"COACALCO DE BERRIOZABAL, MEX.",208,2,210,0,0,72,
10-nov-22,MÉX.,"COACALCO DE BERRIOZABAL, MEX.",205,1,206,1,0,16,
29-nov-13,GTO.,"LEON, GTO.",97,95,192,0,5,433,
28-nov-13,GTO.,"LEON, GTO.",122,68,190,0,7,1042,
11-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",137,49,186,0,19,700,
17-sep-14,B.C.,"TIJUANA, B.C.",90,94,184,0,0,0,
23-ago-14,SIN.,"MAZATLAN, SIN.",92,75,167,1,52,18,
14-may-16,D.F.,"MILPA ALTA, D.F.",70,95,165,"1,971",89,2995,
09-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",129,35,164,0,12,1000,
27-nov-13,GTO.,"LEON, GTO.",95,68,163,0,6,242,
04-ene-13,D.F.,"IZTAPALAPA, D.F.",123,37,160,0,11,400,
14-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",107,33,140,0,10,300,
05-sep-16,CHIS.,"CHAMULA, CHIS.",3,136,139,0,0,0,
16-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",99,37,136,0,10,400,
13-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",117,19,136,25,7,1799,
22-ago-13,SON.,"HERMOSILLO, SON.",96,38,134,479,7,2154,
17-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",101,31,132,0,8,300,
08-nov-22,MÉX.,"COACALCO DE BERRIOZABAL, MEX.",132,0,132,0,0,687,
10-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",104,24,128,0,14,750,
03-ene-13,D.F.,"IZTAPALAPA, D.F.",103,22,125,0,23,300,
08-sep-16,CHIS.,"CHAMULA, CHIS.",7,113,120,0,0,0,
14-jun-13,D.F.,"CUAUHTEMOC, D.F.",105,11,116,0,8,122,
26-nov-13,GTO.,"LEON, GTO.",77,38,115,1,0,50,
12-jun-13,D.F.,"CUAUHTEMOC, D.F.",83,30,113,0,3,363,
02-sep-16,CHIS.,"CHAMULA, CHIS.",3,110,113,0,0,0,
13-jun-13,D.F.,"CUAUHTEMOC, D.F.",84,28,112,0,5,107,
12-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",89,20,109,22,4,1166,
02-ene-13,D.F.,"IZTAPALAPA, D.F.",86,22,108,0,6,600,
15-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",100,6,106,27,11,1466,
11-jun-13,D.F.,"CUAUHTEMOC, D.F.",83,23,106,0,5,1223,
15-mar-16,COAH.,"TORREÓN, COAH.",60,44,104,35,0,4781,
23-ene-13,D.F.,"TLAHUAC, D.F.",76,27,103,0,6,100,
05-dic-14,D.F.,"ALVARO OBREGON, D.F.",69,33,102,0,1,60,
13-jun-23,México,"LERMA, MEX.",102,0,102,0,0,0,
29-nov-14,GTO.,"CELAYA, GTO.",61,40,101,0,9,0,
11-nov-22,MÉX.,"ZUMPANGO, MEX.",101,0,101,0,0,0,
26-ago-14,CHIH.,"JUÁREZ, CHIH.",51,48,99,0,1,986,
03-sep-13,SON.,"SAN LUIS RIO COLORADO, SON.",39,59,98,13,8,47,
03-mar-13,MEX.,"TECAMAC, MEX.",67,29,96,0,8,910,
08-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",76,19,95,0,14,500,
17-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",80,15,95,25,6,793,
14-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",85,9,94,31,6,1887,
08-ene-13,D.F.,"IZTAPALAPA, D.F.",66,26,92,0,1,320,
16-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",79,13,92,28,11,616,
26-feb-13,MEX.,"TECAMAC, MEX.",61,31,92,0,4,208,
02-mar-13,N.L.,"MONTERREY, N.L.",61,30,91,8,1,4499,
15-ene-13,D.F.,"GUSTAVO A. MADERO, D.F.",64,25,89,0,10,250,
24-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",74,15,89,0,0,150,
22-ene-13,D.F.,"TLAHUAC, D.F.",62,26,88,0,5,200,
10-abr-13,D.F.,"AZCAPOTZALCO, D.F.",74,14,88,0,1,300,
19-may-13,HGO.,"PACHUCA DE SOTO, HGO.",48,40,88,0,7,1118,
13-feb-13,MEX.,"ECATEPEC DE MOR., MEX.",67,20,87,0,6,600,
08-mar-13,COAH.,"MATAMOROS, COAH.",66,21,87,1,7,0,
09-abr-14,DGO.,"DGO., DGO.",63,24,87,10,8,0,
20-may-13,MEX.,"CHALCO, MEX.",77,9,86,0,0,0,
20-may-13,GRO.,"ATOYAC DE ALVAREZ, GRO.",58,27,85,0,64,1483,
10-jun-13,D.F.,"CUAUHTEMOC, D.F.",75,9,84,0,5,614,
11-sep-21,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",69,15,84,0,8,5962,
22-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",67,14,81,0,8,150,
03-nov-15,B.C.,"TIJUANA, B.C.",50,31,81,0,0,0,
20-jun-23,México,"ZUMPANGO, MEX.",80,0,80,0,0,0,
21-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",64,15,79,0,3,250,
14-dic-14,D.F.,"CUAUHTEMOC, D.F.",64,15,79,0,0,50,
28-nov-14,GTO.,"CELAYA, GTO.",50,28,78,0,5,0,
03-ago-13,JAL.,"ZAPOPAN, JAL.",20,57,77,11,1,318,
11-abr-14,DGO.,"DGO., DGO.",58,19,77,37,3,16,
09-ago-21,CD. MÉX.,"BENITO JUAREZ, CD. MÉX.",21,55,76,0,6,5044,
20-may-13,MEX.,"TOLUCA, MEX.",53,22,75,0,0,410,
11-feb-13,MEX.,"NEZAHUALCOYOTL, MEX.",66,8,74,35,3,1007,
14-mar-23,México,"ECATEPEC DE MORELOS, MEX.",74,0,74,0,0,0,
20-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",64,9,73,0,7,3170,
04-mar-13,D.F.,"IZTACALCO, D.F.",63,10,73,0,2,960,
08-mar-13,DGO.,"DGO., DGO.",46,27,73,43,1,0,
22-mar-13,DGO.,"DGO., DGO.",51,22,73,24,0,0,
18-jul-13,D.F.,"GUSTAVO A. MADERO, D.F.",54,18,72,0,7,430,
19-dic-14,D.F.,"CUAUHTEMOC, D.F.",52,19,71,0,0,50,
13-nov-14,CHIS.,"COMITAN DE DOMÍNGUEZ, CHIS.",63,7,70,1,0,719,
28-ene-13,D.F.,"TLAHUAC, D.F.",41,28,69,0,2,50,
09-feb-13,D.F.,"MIGUEL HGO., D.F.",57,12,69,0,6,200,
14-feb-13,MEX.,"ECATEPEC DE MOR., MEX.",57,12,69,1,6,112,
01-mar-13,MEX.,"TECAMAC, MEX.",55,14,69,0,9,243,
24-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",53,16,69,0,7,70,
25-ene-13,D.F.,"TLAHUAC, D.F.",38,30,68,0,4,80,
04-dic-14,GTO.,"LEON, GTO.",49,19,68,0,1,0,
03-nov-22,MÉX.,"CUAUTITLAN, MEX.",67,1,68,0,0,30,
06-mar-23,México,"ECATEPEC DE MORELOS, MEX.",68,0,68,0,0,4,
12-abr-13,D.F.,"AZCAPOTZALCO, D.F.",52,15,67,0,4,4300,
17-jul-13,D.F.,"GUSTAVO A. MADERO, D.F.",52,15,67,0,1,840,
07-abr-14,DGO.,"DGO., DGO.",55,12,67,17,9,0,
25-nov-14,GTO.,"CELAYA, GTO.",40,27,67,0,5,0,
07-feb-13,D.F.,"MIGUEL HGO., D.F.",53,13,66,0,7,0,
25-jul-14,D.F.,"GUSTAVO A. MADERO, D.F.",56,10,66,0,13,100,
12-ene-16,D.F.,"CUAUHTEMOC, D.F.",32,34,66,18,0,3,
24-ene-19,CD. MÉX.,"GUSTAVO A. MADERO, CD. MÉX.",58,7,65,0,1,16172,
11-mar-23,México,"COACALCO DE BERRIOZABAL, MEX.",65,0,65,0,0,0,
08-feb-13,D.F.,"MIGUEL HGO., D.F.",53,11,64,0,7,1050,
12-dic-14,D.F.,"CUAUHTEMOC, D.F.",38,26,64,0,0,300,
14-jun-23,México,"LA PAZ, MEX.",63,1,64,0,40,62,
23-feb-13,MEX.,"TLALNEPANTLA DE BAZ, MEX.",40,23,63,0,2,0,
27-feb-13,MEX.,"TECAMAC, MEX.",38,25,63,0,6,205,
08-abr-14,DGO.,"DGO., DGO.",48,15,63,28,8,0,
