Entidad,Poblacion2020
Colima,"731,391"
Baja California Sur,"798,447"
Campeche,"928,363"
Nayarit,"1,235,456"
Tlaxcala,"1,342,977"
Aguascalientes,"1,425,607"
Zacatecas,"1,622,138"
Durango,"1,832,650"
Quintana Roo,"1,857,985"
Morelos,"1,971,520"
Yucatán,"2,320,898"
Querétaro,"2,368,467"
Tabasco,"2,402,598"
San Luis Potosí,"2,822,255"
Sonora,"3,026,943"
Hidalgo,"3,082,841"
Coahuila de Zaragoza,"3,146,771"
Tamaulipas,"3,527,735"
Guerrero,"3,540,685"
Chihuahua,"3,741,869"
Baja California,"3,769,020"
Sinaloa,"3,926,943"
Oaxaca,"4,132,148"
Michoacán de Ocampo,"4,748,846"
Chiapas,"5,543,828"
Nuevo León,"5,784,442"
Guanajuato,"6,166,934"
Puebla,"6,583,278"
Veracruz de Ignacio de la Llave,"8,062,579"
Jalisco,"8,348,151"
Ciudad de México,"9,209,944"
México,"16,992,418"
